110.50   0.868292    0.00217252    0.0118805   0.0117229
111.50   0.792096    0.00206875    0.0107551   0.0106429
112.50   0.715663    0.00216462   0.00960879  0.00962143
113.50   0.661896    0.00187339   0.00855708  0.00947968
114.50   0.605878    0.00180148   0.00805903  0.00806289
115.50   0.565273    0.00170885   0.00749063  0.00750778
116.50   0.520863    0.00171229   0.00686373  0.00689579
117.50   0.483416    0.00155432   0.00634198  0.00639434
118.50   0.451134    0.00152826   0.00588927  0.00596553
119.50   0.427418    0.00138239   0.00553726  0.00561126
120.50   0.396792     0.0013644   0.00511338  0.00522213
121.50   0.366516    0.00147619   0.00470567  0.00481289
122.50   0.349679    0.00130439   0.00446093  0.00458414
123.50   0.327625    0.00124657   0.00415358  0.00428404
124.50   0.309163    0.00127452   0.00390717  0.00404557
125.50   0.296293    0.00116885   0.00372041  0.00386169
126.50   0.277932    0.00114757   0.00348625  0.00362209
127.50   0.266671    0.00108557   0.00331512  0.00346059
128.50   0.251359    0.00113325   0.00311555  0.00326538
129.50   0.239348    0.00104836   0.00295485  0.00311286
130.50   0.226111    0.00104686    0.0027954  0.00295552
131.50   0.220298   0.000948562    0.0027001  0.00285374
132.50   0.208577    0.00094013   0.00254237  0.00270008
133.50    0.19658   0.000956752   0.00240016  0.00255342
134.50   0.187486   0.000910421   0.00227159  0.00243636
135.50   0.184472   0.000825116   0.00222632  0.00237894
136.50   0.175372   0.000869002   0.00210398  0.00226468
137.50    0.16791   0.000826969   0.00201392  0.00216869
138.50   0.161534   0.000883703   0.00192859  0.00208332
139.50   0.154253   0.000783406    0.0018445  0.00199296
140.50   0.146698   0.000787348   0.00174485  0.00188582
141.50    0.14374   0.000726339   0.00170444  0.00185897
142.50   0.137014   0.000760957    0.0016171  0.00176339
143.50   0.131208   0.000745508   0.00154322  0.00169173
144.50    0.12919   0.000678422   0.00152035   0.0016664
145.50   0.127095   0.000872254   0.00148809  0.00163474
146.50   0.120272   0.000702239   0.00141013  0.00155132
147.50   0.116715   0.000613393   0.00136387  0.00150205
148.50   0.110258   0.000604455   0.00129087   0.0014244
149.50   0.106284   0.000675897   0.00124237  0.00137128
150.50   0.108691   0.000660813   0.00125455   0.0013816
151.50   0.100103   0.000599334   0.00116583  0.00128922
152.50  0.0973636   0.000580141   0.00112707  0.00124998
153.50  0.0931788   0.000599156   0.00108042  0.00120282
154.50  0.0939094   0.000621086   0.00108223  0.00120184
155.50  0.0902427   0.000539225   0.00103465  0.00115864
156.50  0.0840058   0.000544671   0.00096795  0.00108113
157.50  0.0846476   0.000490251  0.000971608  0.00108819
158.50  0.0793217   0.000507066  0.000915458  0.00102708
159.50  0.0786252   0.000529129  0.000904213  0.00101643
