   110.50        0.33539123    0.41516719E-03
   111.50        0.30604248    0.43158889E-03
   112.50        0.27904883    0.42531935E-03
   113.50        0.25623192    0.40761766E-03
   114.50        0.23649146    0.39836457E-03
   115.50        0.21840358    0.38318449E-03
   116.50        0.20332869    0.37254564E-03
   117.50        0.18899468    0.35827383E-03
   118.50        0.17653313    0.35057556E-03
   119.50        0.16506183    0.33653274E-03
   120.50        0.15433684    0.32183946E-03
   121.50        0.14529464    0.31334130E-03
   122.50        0.13645076    0.30669249E-03
   123.50        0.12902621    0.29638817E-03
   124.50        0.12160080    0.28691711E-03
   125.50        0.11479623    0.28174125E-03
   126.50        0.10926990    0.27407062E-03
   127.50        0.10429291    0.26578538E-03
   128.50    0.98671796E-01    0.25834453E-03
   129.50    0.93437518E-01    0.25649387E-03
   130.50    0.89142311E-01    0.24756310E-03
   131.50    0.84744379E-01    0.24167238E-03
   132.50    0.81331145E-01    0.23551816E-03
   133.50    0.77443770E-01    0.23089553E-03
   134.50    0.74018782E-01    0.22514367E-03
   135.50    0.70803352E-01    0.21637740E-03
   136.50    0.68158717E-01    0.21673007E-03
   137.50    0.65240694E-01    0.21235584E-03
   138.50    0.62675187E-01    0.21042467E-03
   139.50    0.60028354E-01    0.20503978E-03
   140.50    0.57859327E-01    0.20321417E-03
   141.50    0.55587504E-01    0.19827307E-03
   142.50    0.52995191E-01    0.19272523E-03
   143.50    0.50985554E-01    0.19043637E-03
   144.50    0.49579500E-01    0.18658134E-03
   145.50    0.47492445E-01    0.18628669E-03
   146.50    0.45633776E-01    0.18110537E-03
   147.50    0.44467833E-01    0.17684213E-03
   148.50    0.42750882E-01    0.17544310E-03
   149.50    0.41642451E-01    0.17084543E-03
   150.50    0.39815046E-01    0.16929890E-03
   151.50    0.38692943E-01    0.16388855E-03
   152.50    0.37289448E-01    0.16076994E-03
   153.50    0.36348861E-01    0.15865288E-03
   154.50    0.35089667E-01    0.15910612E-03
   155.50    0.33857637E-01    0.15425899E-03
   156.50    0.32732780E-01    0.15373543E-03
   157.50    0.31616785E-01    0.14806891E-03
   158.50    0.30542479E-01    0.14457654E-03
   159.50    0.29932804E-01    0.14114499E-03
