   110.50   0.89869855     0.51781545E-03
   111.50   0.81661200     0.51608711E-03
   112.50   0.74623253     0.49737731E-03
   113.50   0.68478217     0.47997257E-03
   114.50   0.63002985     0.45869135E-03
   115.50   0.58188987     0.45069540E-03
   116.50   0.54057710     0.42877207E-03
   117.50   0.50242966     0.40925174E-03
   118.50   0.46825052     0.39196607E-03
   119.50   0.43773168     0.37577285E-03
   120.50   0.40957620     0.35997639E-03
   121.50   0.38425239     0.34070635E-03
   122.50   0.36150372     0.33601119E-03
   123.50   0.34132741     0.33365032E-03
   124.50   0.32167563     0.32166822E-03
   125.50   0.30402948     0.31113531E-03
   126.50   0.28826326     0.30932830E-03
   127.50   0.27366425     0.29385798E-03
   128.50   0.25898195     0.28953001E-03
   129.50   0.24690435     0.27840643E-03
   130.50   0.23432225     0.27051443E-03
   131.50   0.22358348     0.26718911E-03
   132.50   0.21304947     0.26167545E-03
   133.50   0.20383356     0.25684424E-03
   134.50   0.19503052     0.24608654E-03
   135.50   0.18643138     0.23866474E-03
   136.50   0.17818042     0.23219063E-03
   137.50   0.17083904     0.22698820E-03
   138.50   0.16412978     0.22448484E-03
   139.50   0.15732522     0.21965012E-03
   140.50   0.15128253     0.21598383E-03
   141.50   0.14560302     0.21596614E-03
   142.50   0.13955962     0.20697621E-03
   143.50   0.13481354     0.20373779E-03
   144.50   0.12995241     0.20022746E-03
   145.50   0.12505253     0.19455802E-03
   146.50   0.12041758     0.19209439E-03
   147.50   0.11602467     0.19119719E-03
   148.50   0.11216305     0.18519513E-03
   149.50   0.10810760     0.18403519E-03
   150.50   0.10451671     0.18171037E-03
   151.50   0.10101256     0.17467001E-03
   152.50   0.97933854E-01 0.17313523E-03
   153.50   0.94559352E-01 0.17177181E-03
   154.50   0.91456996E-01 0.16931471E-03
   155.50   0.88410820E-01 0.16652261E-03
   156.50   0.85830545E-01 0.15986051E-03
   157.50   0.83149678E-01 0.15640137E-03
   158.50   0.80328516E-01 0.15442389E-03
   159.50   0.78495327E-01 0.15259799E-03
